Date,Open,High,Low,Close,Volume,Change,5MA,5Disparity,20MA,20Disparity,60MA,60Disparity,120MA,120Disparity,label
2021-12-02,29800,29850,29450,29700,1300970,-0.01,30460.0,0.9750492449113592,30815.0,0.9638163232192114,31495.0,0.9430068264803936,32252.5,0.920858848151306,0.75
2021-12-03,29900,30600,29750,30500,972844,0.026936026936027,30330.0,1.0056050115397297,30817.5,0.9896974121846354,31455.0,0.9696391670640596,32232.083333333332,0.946262135294802,0.75
2021-12-06,30450,31000,30250,30900,713507,0.0131147540983607,30280.0,1.0204755614266845,30832.5,1.0021892483580637,31426.666666666668,0.9832414085702164,32214.166666666668,0.959205318571022,0.75
2021-12-07,30900,31000,30600,30750,690860,-0.0048543689320388,30370.0,1.0125123477115574,30822.5,0.9976478222078028,31395.0,0.9794553272814144,32197.916666666668,0.955030734390165,0.75
2021-12-08,30800,31250,30600,30750,742252,0.0,30520.0,1.0075360419397117,30810.0,0.9980525803310614,31363.333333333332,0.9804442555000532,32181.25,0.9555253447271316,0.75
2021-12-09,30800,30950,30650,30950,973103,0.0065040650406504,30770.0,1.0058498537536562,30822.5,1.0041365885311055,31335.833333333332,0.9876871526208016,32169.583333333332,0.962088929760255,0.75
2021-12-10,30900,31050,30700,30950,404155,0.0,30860.0,1.0029163966299417,30792.5,1.0051148818705853,31305.833333333332,0.9886336412276732,32153.75,0.9625626870893752,0.75
2021-12-13,30950,31300,30900,31100,474372,0.0048465266558965,30900.0,1.006472491909385,30775.0,1.0105605199025185,31278.333333333332,0.9942985026908936,32140.416666666668,0.9676290236851316,0.75
2021-12-14,31050,31300,30950,31050,542983,-0.0016077170418006,30960.0,1.002906976744186,30772.5,1.0090177918596148,31251.666666666668,0.9935470108260892,32134.583333333332,0.9662487195778172,0.75
2021-12-15,31050,31150,31000,31100,436492,0.001610305958132,31030.0,1.002255881405092,30797.5,1.009822225830019,31227.5,0.995917060283404,32122.916666666668,0.9681561709579092,0.75
2021-12-16,31200,31800,31150,31750,1067164,0.0209003215434082,31190.0,1.0179544725873677,30845.0,1.029340249635273,31215.0,1.0171391958994074,32117.5,0.9885576399159336,0.75
2021-12-17,31850,32350,31850,32350,1206867,0.0188976377952756,31470.0,1.0279631394979345,30910.0,1.0465868650922032,31211.666666666668,1.0364714049233723,32118.333333333332,1.0072129105910437,0.75
2021-12-20,32250,32300,31850,31950,795469,-0.0123647604327665,31640.0,1.0097977243994942,30960.0,1.0319767441860466,31202.5,1.0239564137488983,32114.166666666668,0.9948880296857564,0.75
2021-12-21,32050,32350,31950,32250,895916,0.0093896713615022,31880.0,1.0116060225846926,31030.0,1.0393167902030294,31199.166666666668,1.0336814551670717,32115.833333333332,1.004177586341109,0.25
2021-12-22,32300,32450,32050,32100,655141,-0.0046511627906976,32080.0,1.0006234413965087,31090.0,1.0324863300096494,31191.666666666668,1.0291210259150414,32117.5,0.9994551257102826,0.9130434782608695
